!表層型,!品詞,!活用形,!活用型,!原型,!品詞分類,!前接続0,!前接続1,!後接続0,!後接続1
が,副詞,*,*,が,格助詞,連体形,体言,*,*
の,副詞,*,*,の,格助詞,連体形,体言,*,*
へ,副詞,*,*,へ,格助詞,連体形,体言,*,*
を,副詞,*,*,を,格助詞,連体形,体言,*,*
に,副詞,*,*,に,格助詞,連体形,体言,*,*
と,副詞,*,*,と,格助詞,体言,引用句,*,*
にて,副詞,*,*,にて,格助詞,連体形,体言,*,*
より,副詞,*,*,より,格助詞,連体形,体言,*,*
から,副詞,*,*,から,格助詞,連体形,体言,*,*
して,副詞,*,*,して,格助詞,連体形,体言,*,*
ば,副詞,*,*,ば,接続助詞,未然形,已然形,*,*
と,副詞,*,*,と,接続助詞,終止形,*,*,*
とも,副詞,*,*,とも,接続助詞,終止形,*,*,*
ど,副詞,*,*,ど,接続助詞,已然形,*,*,*
ども,副詞,*,*,ども,接続助詞,已然形,*,*,*
ものを,副詞,*,*,ものを,接続助詞,連体形,*,*,*
ものの,副詞,*,*,ものの,接続助詞,連体形,*,*,*
ものから,副詞,*,*,ものから,接続助詞,連体形,*,*,*
て,副詞,*,*,て,接続助詞,連用形,*,*,*
して,副詞,*,*,して,接続助詞,連用形,*,*,*
が,副詞,*,*,が,接続助詞,連体形,*,*,*
に,副詞,*,*,に,接続助詞,連体形,*,*,*
を,副詞,*,*,を,接続助詞,連体形,*,*,*
で,副詞,*,*,で,接続助詞,未然形,*,*,*
つつ,副詞,*,*,つつ,接続助詞,連用形,*,*,*
ながら,副詞,*,*,ながら,接続助詞,連用形,*,*,*
だに,副詞,*,*,だに,副助詞,*,*,*,*
すら,副詞,*,*,すら,副助詞,*,*,*,*
さへ,副詞,*,*,さへ,副助詞,*,*,*,*
のみ,副詞,*,*,のみ,副助詞,*,*,*,*
ばかり,副詞,*,*,ばかり,副助詞,*,*,*,*
まで,副詞,*,*,まで,副助詞,*,*,*,*
など,副詞,*,*,など,副助詞,*,*,*,*
し,副詞,*,*,し,副助詞,*,*,*,*
しも,副詞,*,*,しも,副助詞,*,*,*,*
は,副詞,*,*,は,係助詞,*,*,*,*
も,副詞,*,*,も,係助詞,*,*,*,*
ぞ,副詞,*,*,ぞ,係助詞,*,*,*,*
なむ,副詞,*,*,なむ,係助詞,*,*,*,*
こそ,副詞,*,*,こそ,係助詞,*,*,*,*
や,副詞,*,*,や,係助詞,*,*,*,*
か,副詞,*,*,か,係助詞,*,*,*,*
な,副詞,*,*,な,終助詞,終止形,*,*,*
そ,副詞,*,*,そ,終助詞,連用形,*,*,*
ばや,副詞,*,*,ばや,終助詞,未然形,*,*,*
なむ,副詞,*,*,なむ,終助詞,未然形,*,*,*
もがな,副詞,*,*,もがな,終助詞,*,*,*,*
がな,副詞,*,*,がな,終助詞,*,*,*,*
な,副詞,*,*,な,終助詞,文末,*,*,*
か,副詞,*,*,か,終助詞,連体形,体言,*,*
かな,副詞,*,*,かな,終助詞,連体形,体言,*,*
は,副詞,*,*,は,終助詞,文末,*,*,*
よ,副詞,*,*,よ,終助詞,体言,文末,*,*
かし,副詞,*,*,かし,終助詞,文末,*,*,*
ぞ,副詞,*,*,ぞ,終助詞,連体形,体言,*,*
